Step,Time_hr,Target_Q,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
54,54.0,150.0,81.0,150.480903402421,311.0870621912146,200.48929918950213,2400.7052742206456
55,55.0,150.0,81.0,152.80041247437603,314.9968096502603,200.58954776557545,2406.392929631137
56,56.0,150.0,81.0,151.9173717961086,311.92967619620464,199.2946298898348,2406.5898721507374
57,57.0,150.0,81.0,151.18332524930136,311.8280487114235,200.04115456998707,2400.273501930706
58,58.0,150.0,81.0,151.64043412536756,312.24670216538044,201.47274510316646,2404.354007514514
59,59.0,150.0,81.0,153.2126633031122,312.7662768506144,200.63567310817362,2406.0053146765663
60,60.0,150.0,81.0,151.94105904122696,313.4423416263294,200.62890197507878,2404.685009400801
61,61.0,150.0,81.0,153.5926115598471,311.347304562667,199.63721941168149,2404.0309559412717
62,62.0,150.0,80.0,152.0277136197794,312.4896214419954,201.80156970835077,2406.1952176254745
63,63.0,150.0,80.0,151.8164517949479,311.6608677316636,202.78855165009995,2405.912407462308
64,64.0,150.0,80.0,150.65109010009445,315.01240440378393,201.45893514867447,2403.6086483891722
65,65.0,150.0,80.0,150.3532820849251,313.5233825508237,201.00905530943535,2403.0849659869114
66,66.0,150.0,80.0,151.06141543476866,313.33104869771313,201.14390513983562,2410.0020960724705
67,67.0,150.0,80.0,152.23600547187897,315.3555158363546,201.33695653843887,2405.1909898102517
68,68.0,150.0,80.0,149.77710622867502,313.36901967441526,200.8306069996645,2407.757792331792
69,69.0,150.0,80.0,150.76643874531857,314.4486313937876,201.65394199161494,2408.84939978548
70,70.0,150.0,80.0,151.4361143326941,310.8369338826375,200.80125092058086,2408.229890894095
