step,time_hr,choke_prev,choke_chosen,delta_u,target_Q,predicted_Q,predicted_WHP,predicted_FLP,predicted_BHP,measured_Q,measured_WHP,measured_FLP,measured_BHP,tracking_error,cost_chosen,n_candidates_evaluated,n_candidates_rejected_hard,reason,rejected_summary
22,22.0,45.0,48.0,3.0,100.0,96.5003966746342,361.65826433830125,244.86378189796517,2543.0592867335554,95.68259261950594,361.9510841859176,245.61523229388303,2544.0397628436494,-3.499603325365797,1.311876292975276,11,0,"TRACKING CORRECTION: err=-3.5 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=48.0% (move +3.0%) -> pred_Q=96.5 bbl/hr. WHP=361.7, FLP=244.9, BHP=2543.1 psi.",none
23,23.0,48.0,48.0,0.0,100.0,98.90015383622446,362.94793895420753,245.71287944250506,2545.9931667799033,99.15091248737335,362.77851212319507,245.7955326699157,2546.1748991786676,-1.0998461637755383,0.16247968222623288,11,0,"DEAD-BAND HOLD: pred_Q=98.9 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=-1.10). Tracking cost suppressed; holding choke at 48.0%. WHP=362.9, FLP=245.7, BHP=2546.0 psi.",none
24,24.0,48.0,48.0,0.0,100.0,100.64886700274417,362.77020857818576,245.5172562977298,2541.5181294364647,101.19974038166775,362.5493616651965,245.54080456721908,2541.01342011211,0.6488670027441685,0.1625251104590223,11,0,"DEAD-BAND HOLD: pred_Q=100.6 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=+0.65). Tracking cost suppressed; holding choke at 48.0%. WHP=362.8, FLP=245.5, BHP=2541.5 psi.",none
25,25.0,48.0,48.0,0.0,100.0,98.71246866731269,359.8827502819798,244.25349207884005,2542.2072600604442,98.93101672815224,358.82651807572296,243.8952106263617,2541.8082589071446,-1.2875313326873083,0.16186595686375532,11,0,"DEAD-BAND HOLD: pred_Q=98.7 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=-1.29). Tracking cost suppressed; holding choke at 48.0%. WHP=359.9, FLP=244.3, BHP=2542.2 psi.",none
26,26.0,48.0,48.0,0.0,100.0,101.62743602297076,361.066658490622,244.1364949643297,2538.1504800586945,102.34625173842889,360.3529488092369,243.74286437390552,2537.1291951475177,1.6274360229707554,0.16237537100310265,11,0,"DEAD-BAND HOLD: pred_Q=101.6 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=+1.63). Tracking cost suppressed; holding choke at 48.0%. WHP=361.1, FLP=244.1, BHP=2538.2 psi.",none
27,27.0,48.0,48.0,0.0,100.0,98.59839215396745,361.8509837968663,243.43169587878816,2533.842838672025,98.79736236613316,361.36419127194193,242.82511952296497,2532.1607894925055,-1.4016078460325474,0.16299662567921594,11,0,"DEAD-BAND HOLD: pred_Q=98.6 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=-1.40). Tracking cost suppressed; holding choke at 48.0%. WHP=361.9, FLP=243.4, BHP=2533.8 psi.",none
28,28.0,48.0,48.0,0.0,100.0,101.56464756226782,360.8147067609701,243.89575655537405,2536.298626471605,102.27268750148544,360.02810363906644,243.4293900238744,2534.9932792231275,1.5646475622678224,0.16240359863992046,11,0,"DEAD-BAND HOLD: pred_Q=101.6 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=+1.56). Tracking cost suppressed; holding choke at 48.0%. WHP=360.8, FLP=243.9, BHP=2536.3 psi.",none
29,29.0,48.0,48.0,0.0,100.0,100.06379829695882,361.16417162418736,244.07253827905237,2534.5337070607543,100.51426199250608,360.47867396504626,243.65958401812668,2532.9576326141387,0.06379829695882222,0.16249175191063517,11,0,"DEAD-BAND HOLD: pred_Q=100.1 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=+0.06). Tracking cost suppressed; holding choke at 48.0%. WHP=361.2, FLP=244.1, BHP=2534.5 psi.",none
30,30.0,48.0,48.0,0.0,100.0,99.5263531321514,362.95074533661295,243.80094381887625,2533.3459314629704,99.88458031206069,362.78213043441406,243.30593086720197,2531.587659938331,-0.47364686784860055,0.16328122123559854,11,0,"DEAD-BAND HOLD: pred_Q=99.5 bbl/hr within +/-3.0 bbl/hr of target 100.0 (err=-0.47). Tracking cost suppressed; holding choke at 48.0%. WHP=363.0, FLP=243.8, BHP=2533.3 psi.",none
31,31.0,48.0,53.0,5.0,150.0,102.86553742981353,356.9320044718415,240.63872605216932,2533.8182742169793,101.21715169580463,358.7162156318186,242.83156035027582,2537.623029261866,-47.13446257018647,1949.5135568517685,11,0,"TRACKING CORRECTION: err=-47.1 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=53.0% (move +5.0%) -> pred_Q=102.9 bbl/hr. WHP=356.9, FLP=240.6, BHP=2533.8 psi.",none
32,32.0,53.0,58.0,5.0,150.0,105.02435111480554,354.9600202111557,237.33618311633836,2522.9183246243565,102.26130286532346,358.4755635313645,240.63223257220997,2528.4603671463055,-44.97564888519446,1763.6198357057556,11,0,"TRACKING CORRECTION: err=-45.0 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=58.0% (move +5.0%) -> pred_Q=105.0 bbl/hr. WHP=355.0, FLP=237.3, BHP=2522.9 psi.",none
33,33.0,58.0,63.0,5.0,150.0,111.22867801268028,348.21313551015544,231.32506525053722,2507.5386211957425,108.04525955354067,352.0785601797229,234.90596960600195,2514.130785992247,-38.77132198731972,1281.2574769958956,11,0,"TRACKING CORRECTION: err=-38.8 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=63.0% (move +5.0%) -> pred_Q=111.2 bbl/hr. WHP=348.2, FLP=231.3, BHP=2507.5 psi.",none
34,34.0,63.0,68.0,5.0,150.0,118.00576762295793,341.49973715218107,225.93831143407064,2499.72754169427,114.50027667891256,345.724731275876,229.99271406722121,2508.5308066190237,-31.994232377042067,842.3433042685953,11,0,"TRACKING CORRECTION: err=-32.0 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=68.0% (move +5.0%) -> pred_Q=118.0 bbl/hr. WHP=341.5, FLP=225.9, BHP=2499.7 psi.",none
35,35.0,68.0,73.0,5.0,150.0,123.51276928414752,335.86365818551974,219.04945547224574,2487.21813006372,119.46723294437929,340.7599065335906,223.12351599422138,2497.5118014207933,-26.487230715852476,553.3431508909572,11,0,"TRACKING CORRECTION: err=-26.5 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=73.0% (move +5.0%) -> pred_Q=123.5 bbl/hr. WHP=335.9, FLP=219.0, BHP=2487.2 psi.",none
36,36.0,73.0,78.0,5.0,150.0,129.65838166176866,327.564501231241,214.45618277048493,2474.396222219782,125.18239850709985,332.36153512242464,219.24348144320663,2486.132365115513,-20.341618338231342,302.4399849651987,11,0,"TRACKING CORRECTION: err=-20.3 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=78.0% (move +5.0%) -> pred_Q=129.7 bbl/hr. WHP=327.6, FLP=214.5, BHP=2474.4 psi.",none
37,37.0,78.0,83.0,5.0,150.0,136.02446743997308,321.13583564357987,206.67225505819422,2451.485330213595,131.15587518779753,326.37481647955246,211.20877747347146,2463.1163598701705,-13.97553256002692,122.20578628576398,11,0,"TRACKING CORRECTION: err=-14.0 bbl/hr outside dead-band +/-3.0. All 11 candidates feasible; chose u=83.0% (move +5.0%) -> pred_Q=136.0 bbl/hr. WHP=321.1, FLP=206.7, BHP=2451.5 psi.",none
